,domain,status
607,agoda.com,easy_to_reject
608,mdpi.com,easy_to_reject
609,joinhoney.com,easy_to_reject
610,trendyol.com,easy_to_reject
611,shutterstock.com,easy_to_reject
612,bitdefender.net,easy_to_reject
613,chess.com,easy_to_reject
614,ecosia.org,easy_to_reject
615,permutive.com,easy_to_reject
616,marca.com,easy_to_reject
617,surfshark.com,easy_to_reject
618,mashable.com,easy_to_reject
619,epicgames.dev,easy_to_reject
620,samsungelectronics.com,easy_to_reject
621,onedrive.com,easy_to_reject
622,google.ru,easy_to_reject
623,otto.de,easy_to_reject
624,as.com,easy_to_reject
625,n-tv.de,easy_to_reject
626,cdnhwc2.com,easy_to_reject
627,sciencedaily.com,easy_to_reject
628,splashtop.com,easy_to_reject
629,biomedcentral.com,easy_to_reject
630,expedia.com,easy_to_reject
631,mobile.de,easy_to_reject
632,plesk.com,easy_to_reject
633,meethue.com,easy_to_reject
634,poki.com,easy_to_reject
635,typepad.com,easy_to_reject
636,bmj.com,easy_to_reject
637,vivo.com,easy_to_reject
638,classdojo.com,easy_to_reject
639,trello.com,easy_to_reject
640,quillbot.com,easy_to_reject
641,google.com.au,easy_to_reject
642,kleinanzeigen.de,easy_to_reject
643,india.com,easy_to_reject
644,caixa.gov.br,easy_to_reject
645,apa.org,easy_to_reject
646,dafont.com,easy_to_reject
647,google.nl,easy_to_reject
648,cloud.com,easy_to_reject
649,espncricinfo.com,easy_to_reject
650,cxense.com,easy_to_reject
651,zdnet.com,easy_to_reject
652,flashscore.com,easy_to_reject
653,wpengine.com,easy_to_reject
654,agora.io,easy_to_reject
655,livescore.com,easy_to_reject
656,gazzetta.it,easy_to_reject
657,americanexpress.com,easy_to_reject
658,jw.org,easy_to_reject
659,rightmove.co.uk,easy_to_reject
660,datadome.co,easy_to_reject
661,cookpad.com,easy_to_reject
662,magazineluiza.com.br,easy_to_reject
663,remove.bg,easy_to_reject
664,pvp.net,easy_to_reject
665,trustarc.com,easy_to_reject
666,meetup.com,easy_to_reject
667,garmin.com,easy_to_reject
668,ebay.it,easy_to_reject
669,hepsiburada.com,easy_to_reject
670,makemytrip.com,easy_to_reject
671,adswizz.com,easy_to_reject
672,pewresearch.org,easy_to_reject
673,watchguard.com,easy_to_reject
674,coursera.org,easy_to_reject
675,oreilly.com,easy_to_reject
676,hltv.org,easy_to_reject
677,sun.com,easy_to_reject
678,scientificamerican.com,easy_to_reject
679,notion.so,easy_to_reject
680,emag.ro,easy_to_reject
681,truste.com,easy_to_reject
682,funnyjunk.com,easy_to_reject
683,ekstrabladet.dk,easy_to_reject
684,geocities.com,easy_to_reject
685,here.com,easy_to_reject
686,nba.com,easy_to_reject
687,playrix.com,easy_to_reject
688,bt.dk,easy_to_reject
689,kurir.rs,easy_to_reject
690,livehindustan.com,easy_to_reject
691,ubi.com,easy_to_reject
692,dynamicyield.com,easy_to_reject
693,1mg.com,easy_to_reject
694,spiegel.de,easy_to_reject
695,sonnenbatterie.de,easy_to_reject
696,aljazeera.com,easy_to_reject
697,livescore.in,easy_to_reject
698,typekit.com,easy_to_reject
699,diretta.it,easy_to_reject
700,flashscore.com.br,easy_to_reject
701,letras.mus.br,easy_to_reject
702,flashscore.pl,easy_to_reject
703,flashscore.fr,easy_to_reject
704,hbo.com,easy_to_reject
705,deezer.com,easy_to_reject
706,slate.com,easy_to_reject
707,dhl.com,easy_to_reject
708,pluto.tv,easy_to_reject
709,dashlane.com,easy_to_reject
710,mirror.co.uk,easy_to_reject
711,barnesandnoble.com,easy_to_reject
712,coursehero.com,easy_to_reject
713,bitbucket.org,easy_to_reject
714,anydesk.com,easy_to_reject
715,rainberrytv.com,easy_to_reject
716,vinted.fr,easy_to_reject
717,tencent.com,easy_to_reject
718,asus.com,easy_to_reject
719,engadget.com,easy_to_reject
720,ultradns.com,easy_to_reject
721,digitaloceanspaces.com,easy_to_reject
722,politico.com,easy_to_reject
723,secureserver.net,easy_to_reject
724,brightcove.com,easy_to_reject
725,nextdoor.com,easy_to_reject
726,intermedia.net,easy_to_reject
727,mapbox.com,easy_to_reject
728,auvik.com,easy_to_reject
729,deepintent.com,easy_to_reject
730,dictionary.com,easy_to_reject
731,ringcentral.com,easy_to_reject
732,cloud.microsoft,easy_to_reject
733,sonobi.com,easy_to_reject
734,liftoff.io,easy_to_reject
735,google.co.id,easy_to_reject
736,acs.org,easy_to_reject
737,guardian.co.uk,easy_to_reject
738,segment.com,easy_to_reject
739,heapanalytics.com,easy_to_reject
740,globalpay.com,easy_to_reject
741,yotpo.com,easy_to_reject
742,timeanddate.com,easy_to_reject
743,google.co.th,easy_to_reject
744,privacymanager.io,easy_to_reject
745,honeywell.com,easy_to_reject
746,umbrella.com,easy_to_reject
747,ddnss.de,easy_to_reject
748,marmiton.org,easy_to_reject
749,amd.com,easy_to_reject
750,pandasecurity.com,easy_to_reject
751,wetransfer.com,easy_to_reject
752,nsone.net,easy_to_reject
753,ford.com,easy_to_reject
754,ign.com,easy_to_reject
755,siemens.com,easy_to_reject
756,google.com.vn,easy_to_reject
